BoxAWetWeight,Urea_Kgs,Season,Variety,Country,BoxBLength,PlotSize_acres,CAN_Kgs,Year,BoxBDryWeight,DAP_Kgs,NPK_Kgs,BoxALength,BoxAWidth,PlantingDate,BoxBWetWeight,ImgID,Longitude,BoxBWidth,Latitude,BoxADryWeight,Quality,human_lat,human_lon,model_lat,model_lon,source_folder,id_x,datetime,platform,properties_x,geometry,type,collection,bbox,stac_version,properties_y,id_y,links,assets,Folder_Season,File_Name,Storage_Path,BoxAArea,BoxBArea,YieldBoxA_per_m2,YieldBoxB_per_m2,AvgSampleYield_per_m2,EstimatedYieldKG,YieldPerAcre,Standardized_Season,SeasonYear,RainType
19.3,,2015 LR,,Kenya,8,0.5,25,2015,11.75,25,,8,5,,21.4,id_0000c1a4,34.89157253,5,0.550280393,9.5,3,0,0,0.5502764,34.89160314,east_african_field_centers_planet_label_0000c1a4,east_african_field_centers_planet_source_0000c1a4,2015-06-01T00:00:00.000000Z,,"{""datetime"": ""2015-06-01T00:00:00.000000Z"", ""label:description"": ""Coordinate Labels"", ""label:properties"": null, ""label:type"": ""coordinates""}","{'coordinates': [[34.889775816016304, 0.5484837618807855], [34.889775816016304, 0.5520770241192144], [34.8933692439837, 0.5484837618807855], [34.8933692439837, 0.5520770241192144], [34.889775816016304, 0.5484837618807855]], 'type': 'polygon'}",Feature,east_african_field_centers_planet_source,"[34.889775816016304, 0.5484837618807855, 34.8933692439837, 0.5520770241192144]",1.0.0,"{'datetime': '2015-06-01T00:00:00.000000Z', 'platform': 'Planet Labs'}",east_african_field_centers_planet_source_0000c1a4,"[{'href': '../collection.json', 'rel': 'collection'}, {'href': '../collection.json', 'rel': 'parent'}]","{'jun17': {'href': 'jun17.png', 'type': 'image/png'}, 'dec17': {'href': 'dec17.png', 'type': 'image/png'}, 'jun18': {'href': 'jun18.png', 'type': 'image/png'}, 'dec18': {'href': 'dec18.png', 'type': 'image/png'}, 'json-metadata': {'href': 'metadata.json', 'title': 'Metadata', 'type': 'text/json', 'roles': ['metadata']}}",17-Dec,id_0000c1a4.png,C:\Users\Administrator\Desktop\results\dec17\id_0000c1a4.png,40,40,0.2375,0.29375,0.265625,537.4735938,1074.947188,2015 Long rains,2015,Long rains
19.3,,2015 LR,,Kenya,8,0.5,25,2015,11.75,25,,8,5,,21.4,id_0000c1a4,34.89157253,5,0.550280393,9.5,3,0,0,0.5502764,34.89160314,east_african_field_centers_planet_label_0000c1a4,east_african_field_centers_planet_source_0000c1a4,2015-06-01T00:00:00.000000Z,,"{""datetime"": ""2015-06-01T00:00:00.000000Z"", ""label:description"": ""Coordinate Labels"", ""label:properties"": null, ""label:type"": ""coordinates""}","{'coordinates': [[34.889775816016304, 0.5484837618807855], [34.889775816016304, 0.5520770241192144], [34.8933692439837, 0.5484837618807855], [34.8933692439837, 0.5520770241192144], [34.889775816016304, 0.5484837618807855]], 'type': 'polygon'}",Feature,east_african_field_centers_planet_source,"[34.889775816016304, 0.5484837618807855, 34.8933692439837, 0.5520770241192144]",1.0.0,"{'datetime': '2015-06-01T00:00:00.000000Z', 'platform': 'Planet Labs'}",east_african_field_centers_planet_source_0000c1a4,"[{'href': '../collection.json', 'rel': 'collection'}, {'href': '../collection.json', 'rel': 'parent'}]","{'jun17': {'href': 'jun17.png', 'type': 'image/png'}, 'dec17': {'href': 'dec17.png', 'type': 'image/png'}, 'jun18': {'href': 'jun18.png', 'type': 'image/png'}, 'dec18': {'href': 'dec18.png', 'type': 'image/png'}, 'json-metadata': {'href': 'metadata.json', 'title': 'Metadata', 'type': 'text/json', 'roles': ['metadata']}}",18-Dec,id_0000c1a4.png,C:\Users\Administrator\Desktop\results\dec18\id_0000c1a4.png,40,40,0.2375,0.29375,0.265625,537.4735938,1074.947188,2015 Long rains,2015,Long rains
19.3,,2015 LR,,Kenya,8,0.5,25,2015,11.75,25,,8,5,,21.4,id_0000c1a4,34.89157253,5,0.550280393,9.5,3,0,0,0.5502764,34.89160314,east_african_field_centers_planet_label_0000c1a4,east_african_field_centers_planet_source_0000c1a4,2015-06-01T00:00:00.000000Z,,"{""datetime"": ""2015-06-01T00:00:00.000000Z"", ""label:description"": ""Coordinate Labels"", ""label:properties"": null, ""label:type"": ""coordinates""}","{'coordinates': [[34.889775816016304, 0.5484837618807855], [34.889775816016304, 0.5520770241192144], [34.8933692439837, 0.5484837618807855], [34.8933692439837, 0.5520770241192144], [34.889775816016304, 0.5484837618807855]], 'type': 'polygon'}",Feature,east_african_field_centers_planet_source,"[34.889775816016304, 0.5484837618807855, 34.8933692439837, 0.5520770241192144]",1.0.0,"{'datetime': '2015-06-01T00:00:00.000000Z', 'platform': 'Planet Labs'}",east_african_field_centers_planet_source_0000c1a4,"[{'href': '../collection.json', 'rel': 'collection'}, {'href': '../collection.json', 'rel': 'parent'}]","{'jun17': {'href': 'jun17.png', 'type': 'image/png'}, 'dec17': {'href': 'dec17.png', 'type': 'image/png'}, 'jun18': {'href': 'jun18.png', 'type': 'image/png'}, 'dec18': {'href': 'dec18.png', 'type': 'image/png'}, 'json-metadata': {'href': 'metadata.json', 'title': 'Metadata', 'type': 'text/json', 'roles': ['metadata']}}",17-Jun,id_0000c1a4.png,C:\Users\Administrator\Desktop\results\jun17\id_0000c1a4.png,40,40,0.2375,0.29375,0.265625,537.4735938,1074.947188,2015 Long rains,2015,Long rains
19.3,,2015 LR,,Kenya,8,0.5,25,2015,11.75,25,,8,5,,21.4,id_0000c1a4,34.89157253,5,0.550280393,9.5,3,0,0,0.5502764,34.89160314,east_african_field_centers_planet_label_0000c1a4,east_african_field_centers_planet_source_0000c1a4,2015-06-01T00:00:00.000000Z,,"{""datetime"": ""2015-06-01T00:00:00.000000Z"", ""label:description"": ""Coordinate Labels"", ""label:properties"": null, ""label:type"": ""coordinates""}","{'coordinates': [[34.889775816016304, 0.5484837618807855], [34.889775816016304, 0.5520770241192144], [34.8933692439837, 0.5484837618807855], [34.8933692439837, 0.5520770241192144], [34.889775816016304, 0.5484837618807855]], 'type': 'polygon'}",Feature,east_african_field_centers_planet_source,"[34.889775816016304, 0.5484837618807855, 34.8933692439837, 0.5520770241192144]",1.0.0,"{'datetime': '2015-06-01T00:00:00.000000Z', 'platform': 'Planet Labs'}",east_african_field_centers_planet_source_0000c1a4,"[{'href': '../collection.json', 'rel': 'collection'}, {'href': '../collection.json', 'rel': 'parent'}]","{'jun17': {'href': 'jun17.png', 'type': 'image/png'}, 'dec17': {'href': 'dec17.png', 'type': 'image/png'}, 'jun18': {'href': 'jun18.png', 'type': 'image/png'}, 'dec18': {'href': 'dec18.png', 'type': 'image/png'}, 'json-metadata': {'href': 'metadata.json', 'title': 'Metadata', 'type': 'text/json', 'roles': ['metadata']}}",18-Jun,id_0000c1a4.png,C:\Users\Administrator\Desktop\results\jun18\id_0000c1a4.png,40,40,0.2375,0.29375,0.265625,537.4735938,1074.947188,2015 Long rains,2015,Long rains
,,2018 LR,,Kenya,,0.5,,2018,6.11,,,,,,,id_00016940,35.0903318,,0.7873138,8.92,0,,,0.787386239,35.09030615,east_african_field_centers_planet_label_00016940,east_african_field_centers_planet_source_00016940,2018-06-01T00:00:00.000000Z,,"{""datetime"": ""2018-06-01T00:00:00.000000Z"", ""label:description"": ""Coordinate Labels"", ""label:properties"": null, ""label:type"": ""coordinates""}","{'coordinates': [[35.08853499866961, 0.7855171683039238], [35.08853499866961, 0.7891104316960763], [35.09212860133038, 0.7855171683039238], [35.09212860133038, 0.7891104316960763], [35.08853499866961, 0.7855171683039238]], 'type': 'polygon'}",Feature,east_african_field_centers_planet_source,"[35.08853499866961, 0.7855171683039238, 35.09212860133038, 0.7891104316960763]",1.0.0,"{'datetime': '2018-06-01T00:00:00.000000Z', 'platform': 'Planet Labs'}",east_african_field_centers_planet_source_00016940,"[{'href': '../collection.json', 'rel': 'collection'}, {'href': '../collection.json', 'rel': 'parent'}]","{'jun17': {'href': 'jun17.png', 'type': 'image/png'}, 'dec17': {'href': 'dec17.png', 'type': 'image/png'}, 'jun18': {'href': 'jun18.png', 'type': 'image/png'}, 'dec18': {'href': 'dec18.png', 'type': 'image/png'}, 'json-metadata': {'href': 'metadata.json', 'title': 'Metadata', 'type': 'text/json', 'roles': ['metadata']}}",17-Dec,id_00016940.png,C:\Users\Administrator\Desktop\results\dec17\id_00016940.png,,,,,,,,2018 Long rains,2018,Long rains
,,2018 LR,,Kenya,,0.5,,2018,6.11,,,,,,,id_00016940,35.0903318,,0.7873138,8.92,0,,,0.787386239,35.09030615,east_african_field_centers_planet_label_00016940,east_african_field_centers_planet_source_00016940,2018-06-01T00:00:00.000000Z,,"{""datetime"": ""2018-06-01T00:00:00.000000Z"", ""label:description"": ""Coordinate Labels"", ""label:properties"": null, ""label:type"": ""coordinates""}","{'coordinates': [[35.08853499866961, 0.7855171683039238], [35.08853499866961, 0.7891104316960763], [35.09212860133038, 0.7855171683039238], [35.09212860133038, 0.7891104316960763], [35.08853499866961, 0.7855171683039238]], 'type': 'polygon'}",Feature,east_african_field_centers_planet_source,"[35.08853499866961, 0.7855171683039238, 35.09212860133038, 0.7891104316960763]",1.0.0,"{'datetime': '2018-06-01T00:00:00.000000Z', 'platform': 'Planet Labs'}",east_african_field_centers_planet_source_00016940,"[{'href': '../collection.json', 'rel': 'collection'}, {'href': '../collection.json', 'rel': 'parent'}]","{'jun17': {'href': 'jun17.png', 'type': 'image/png'}, 'dec17': {'href': 'dec17.png', 'type': 'image/png'}, 'jun18': {'href': 'jun18.png', 'type': 'image/png'}, 'dec18': {'href': 'dec18.png', 'type': 'image/png'}, 'json-metadata': {'href': 'metadata.json', 'title': 'Metadata', 'type': 'text/json', 'roles': ['metadata']}}",18-Dec,id_00016940.png,C:\Users\Administrator\Desktop\results\dec18\id_00016940.png,,,,,,,,2018 Long rains,2018,Long rains
,,2018 LR,,Kenya,,0.5,,2018,6.11,,,,,,,id_00016940,35.0903318,,0.7873138,8.92,0,,,0.787386239,35.09030615,east_african_field_centers_planet_label_00016940,east_african_field_centers_planet_source_00016940,2018-06-01T00:00:00.000000Z,,"{""datetime"": ""2018-06-01T00:00:00.000000Z"", ""label:description"": ""Coordinate Labels"", ""label:properties"": null, ""label:type"": ""coordinates""}","{'coordinates': [[35.08853499866961, 0.7855171683039238], [35.08853499866961, 0.7891104316960763], [35.09212860133038, 0.7855171683039238], [35.09212860133038, 0.7891104316960763], [35.08853499866961, 0.7855171683039238]], 'type': 'polygon'}",Feature,east_african_field_centers_planet_source,"[35.08853499866961, 0.7855171683039238, 35.09212860133038, 0.7891104316960763]",1.0.0,"{'datetime': '2018-06-01T00:00:00.000000Z', 'platform': 'Planet Labs'}",east_african_field_centers_planet_source_00016940,"[{'href': '../collection.json', 'rel': 'collection'}, {'href': '../collection.json', 'rel': 'parent'}]","{'jun17': {'href': 'jun17.png', 'type': 'image/png'}, 'dec17': {'href': 'dec17.png', 'type': 'image/png'}, 'jun18': {'href': 'jun18.png', 'type': 'image/png'}, 'dec18': {'href': 'dec18.png', 'type': 'image/png'}, 'json-metadata': {'href': 'metadata.json', 'title': 'Metadata', 'type': 'text/json', 'roles': ['metadata']}}",17-Jun,id_00016940.png,C:\Users\Administrator\Desktop\results\jun17\id_00016940.png,,,,,,,,2018 Long rains,2018,Long rains
,,2018 LR,,Kenya,,0.5,,2018,6.11,,,,,,,id_00016940,35.0903318,,0.7873138,8.92,0,,,0.787386239,35.09030615,east_african_field_centers_planet_label_00016940,east_african_field_centers_planet_source_00016940,2018-06-01T00:00:00.000000Z,,"{""datetime"": ""2018-06-01T00:00:00.000000Z"", ""label:description"": ""Coordinate Labels"", ""label:properties"": null, ""label:type"": ""coordinates""}","{'coordinates': [[35.08853499866961, 0.7855171683039238], [35.08853499866961, 0.7891104316960763], [35.09212860133038, 0.7855171683039238], [35.09212860133038, 0.7891104316960763], [35.08853499866961, 0.7855171683039238]], 'type': 'polygon'}",Feature,east_african_field_centers_planet_source,"[35.08853499866961, 0.7855171683039238, 35.09212860133038, 0.7891104316960763]",1.0.0,"{'datetime': '2018-06-01T00:00:00.000000Z', 'platform': 'Planet Labs'}",east_african_field_centers_planet_source_00016940,"[{'href': '../collection.json', 'rel': 'collection'}, {'href': '../collection.json', 'rel': 'parent'}]","{'jun17': {'href': 'jun17.png', 'type': 'image/png'}, 'dec17': {'href': 'dec17.png', 'type': 'image/png'}, 'jun18': {'href': 'jun18.png', 'type': 'image/png'}, 'dec18': {'href': 'dec18.png', 'type': 'image/png'}, 'json-metadata': {'href': 'metadata.json', 'title': 'Metadata', 'type': 'text/json', 'roles': ['metadata']}}",18-Jun,id_00016940.png,C:\Users\Administrator\Desktop\results\jun18\id_00016940.png,,,,,,,,2018 Long rains,2018,Long rains
,,2018 LR,,Kenya,,0.5,,2018,5.95,,,,,,,id_000ab105,34.77436145,,-0.678931115,6,0,,,-0.678934069,34.77438272,east_african_field_centers_planet_label_000ab105,east_african_field_centers_planet_source_000ab105,2018-06-01T00:00:00.000000Z,,"{""datetime"": ""2018-06-01T00:00:00.000000Z"", ""label:description"": ""Coordinate Labels"", ""label:properties"": null, ""label:type"": ""coordinates""}","{'coordinates': [[34.77256469245081, -0.6807277464069433], [34.77256469245081, -0.6771344835930567], [34.776158207549194, -0.6807277464069433], [34.776158207549194, -0.6771344835930567], [34.77256469245081, -0.6807277464069433]], 'type': 'polygon'}",Feature,east_african_field_centers_planet_source,"[34.77256469245081, -0.6807277464069433, 34.776158207549194, -0.6771344835930567]",1.0.0,"{'datetime': '2018-06-01T00:00:00.000000Z', 'platform': 'Planet Labs'}",east_african_field_centers_planet_source_000ab105,"[{'href': '../collection.json', 'rel': 'collection'}, {'href': '../collection.json', 'rel': 'parent'}]","{'jun17': {'href': 'jun17.png', 'type': 'image/png'}, 'dec17': {'href': 'dec17.png', 'type': 'image/png'}, 'jun18': {'href': 'jun18.png', 'type': 'image/png'}, 'dec18': {'href': 'dec18.png', 'type': 'image/png'}, 'json-metadata': {'href': 'metadata.json', 'title': 'Metadata', 'type': 'text/json', 'roles': ['metadata']}}",17-Dec,id_000ab105.png,C:\Users\Administrator\Desktop\results\dec17\id_000ab105.png,,,,,,,,2018 Long rains,2018,Long rains
,,2018 LR,,Kenya,,0.5,,2018,5.95,,,,,,,id_000ab105,34.77436145,,-0.678931115,6,0,,,-0.678934069,34.77438272,east_african_field_centers_planet_label_000ab105,east_african_field_centers_planet_source_000ab105,2018-06-01T00:00:00.000000Z,,"{""datetime"": ""2018-06-01T00:00:00.000000Z"", ""label:description"": ""Coordinate Labels"", ""label:properties"": null, ""label:type"": ""coordinates""}","{'coordinates': [[34.77256469245081, -0.6807277464069433], [34.77256469245081, -0.6771344835930567], [34.776158207549194, -0.6807277464069433], [34.776158207549194, -0.6771344835930567], [34.77256469245081, -0.6807277464069433]], 'type': 'polygon'}",Feature,east_african_field_centers_planet_source,"[34.77256469245081, -0.6807277464069433, 34.776158207549194, -0.6771344835930567]",1.0.0,"{'datetime': '2018-06-01T00:00:00.000000Z', 'platform': 'Planet Labs'}",east_african_field_centers_planet_source_000ab105,"[{'href': '../collection.json', 'rel': 'collection'}, {'href': '../collection.json', 'rel': 'parent'}]","{'jun17': {'href': 'jun17.png', 'type': 'image/png'}, 'dec17': {'href': 'dec17.png', 'type': 'image/png'}, 'jun18': {'href': 'jun18.png', 'type': 'image/png'}, 'dec18': {'href': 'dec18.png', 'type': 'image/png'}, 'json-metadata': {'href': 'metadata.json', 'title': 'Metadata', 'type': 'text/json', 'roles': ['metadata']}}",18-Dec,id_000ab105.png,C:\Users\Administrator\Desktop\results\dec18\id_000ab105.png,,,,,,,,2018 Long rains,2018,Long rains
